#YYYY MM DD HH MM P(mm) PET(mm)
2009  5 29  9  0 0.00000 0.00000
2009  5 29 10  0 0.00000 0.00000
2009  5 29 11  0 0.00000 0.00007
2009  5 29 12  0 0.00000 0.01776
2009  5 29 13  0 0.00000 0.05919
2009  5 29 14  0 0.00000 0.08831
2009  5 29 15  0 0.00000 0.18395
2009  5 29 16  0 0.00000 0.39938
2009  5 29 17  0 0.00000 0.51607
2009  5 29 18  0 0.00000 0.45299
2009  5 29 19  0 0.00000 0.44858
2009  5 29 20  0 1.15094 0.30318
2009  5 29 21  0 0.00000 0.12482
2009  5 29 22  0 0.24528 0.04237
2009  5 29 23  0 0.11320 0.02866
2009  5 30  0  0 0.00000 0.01833
2009  5 30  1  0 0.00000 0.00344
2009  5 30  2  0 0.00000 0.00000
2009  5 30  3  0 0.00000 0.00000
2009  5 30  4  0 0.00000 0.00000
2009  5 30  5  0 0.00000 0.00000
2009  5 30  6  0 0.00000 0.00000
2009  5 30  7  0 0.00000 0.00000
2009  5 30  8  0 0.00000 0.00000
2009  5 30  9  0 0.00000 0.00000
2009  5 30 10  0 0.00000 0.00000
2009  5 30 11  0 0.00000 0.00039
2009  5 30 12  0 0.00000 0.01120
2009  5 30 13  0 0.00000 0.05785
2009  5 30 14  0 0.00000 0.11598
2009  5 30 15  0 0.00000 0.23703
2009  5 30 16  0 0.00000 0.26211
2009  5 30 17  0 0.00000 0.40226
2009  5 30 18  0 3.88679 0.33190
2009  5 30 19  0 0.83018 0.10370
2009  5 30 20  0 0.00000 0.09406
2009  5 30 21  0 0.00000 0.18456
2009  5 30 22  0 0.00000 0.18311
2009  5 30 23  0 0.00000 0.09989
2009  5 31  0  0 0.05660 0.02758
2009  5 31  1  0 0.00000 0.00275
2009  5 31  2  0 0.00000 0.00000
2009  5 31  3  0 0.00000 0.00000
2009  5 31  4  0 0.00000 0.00000
2009  5 31  5  0 0.00000 0.00000
2009  5 31  6  0 0.00000 0.00000
2009  5 31  7  0 0.05660 0.00000
2009  5 31  8  0 0.00000 0.00000
2009  5 31  9  0 0.00000 0.00000
2009  5 31 10  0 0.00000 0.00000
2009  5 31 11  0 0.00000 0.00001
2009  5 31 12  0 0.00000 0.00190
2009  5 31 13  0 0.00000 0.01889
2009  5 31 14  0 0.00000 0.03175
2009  5 31 15  0 0.00000 0.07136
2009  5 31 16  0 0.00000 0.14678
2009  5 31 17  0 0.00000 0.25946
2009  5 31 18  0 0.00000 0.28566
2009  5 31 19  0 1.73584 0.16634
2009  5 31 20  0 1.09434 0.04986
2009  5 31 21  0 0.24528 0.00851
2009  5 31 22  0 0.49056 0.00309
2009  5 31 23  0 0.26414 0.00311
2009  6  1  0  0 0.30188 0.00148
2009  6  1  1  0 0.15094 0.00022
2009  6  1  2  0 0.05660 0.00000
2009  6  1  3  0 0.00000 0.00000
2009  6  1  4  0 0.05660 0.00000
2009  6  1  5  0 0.05660 0.00000
2009  6  1  6  0 0.00000 0.00000
2009  6  1  7  0 0.00000 0.00000
2009  6  1  8  0 0.00000 0.00000
2009  6  1  9  0 0.00000 0.00000
2009  6  1 10  0 0.00000 0.00000
2009  6  1 11  0 0.05660 0.00027
2009  6  1 12  0 0.05660 0.02000
2009  6  1 13  0 0.00000 0.06558
2009  6  1 14  0 0.00000 0.08112
2009  6  1 15  0 0.00000 0.16843
2009  6  1 16  0 0.00000 0.36271
2009  6  1 17  0 0.00000 0.31365
2009  6  1 18  0 0.00000 0.15773
2009  6  1 19  0 0.00000 0.12826
2009  6  1 20  0 0.00000 0.13616
2009  6  1 21  0 0.00000 0.11721
2009  6  1 22  0 0.00000 0.09504
2009  6  1 23  0 0.00000 0.05110
2009  6  2  0  0 0.00000 0.01165
2009  6  2  1  0 0.00000 0.00050
2009  6  2  2  0 0.00000 0.00000
2009  6  2  3  0 0.00000 0.00000
2009  6  2  4  0 0.00000 0.00000
2009  6  2  5  0 0.00000 0.00000
2009  6  2  6  0 0.00000 0.00000
2009  6  2  7  0 0.00000 0.00000
2009  6  2  8  0 0.00000 0.00000
2009  6  2  9  0 0.00000 0.00000
2009  6  2 10  0 0.00000 0.00000
2009  6  2 11  0 0.00000 0.00020
2009  6  2 12  0 0.00000 0.02552
2009  6  2 13  0 0.00000 0.12474
2009  6  2 14  0 0.00000 0.26400
2009  6  2 15  0 0.00000 0.31948
2009  6  2 16  0 0.00000 0.27110
2009  6  2 17  0 0.00000 0.22038
2009  6  2 18  0 0.00000 0.26158
2009  6  2 19  0 0.00000 0.30196
2009  6  2 20  0 0.00000 0.22611
2009  6  2 21  0 0.18868 0.12510
2009  6  2 22  0 0.00000 0.09283
2009  6  2 23  0 0.00000 0.07376
2009  6  3  0  0 0.00000 0.02863
2009  6  3  1  0 0.00000 0.00310
2009  6  3  2  0 0.00000 0.00000
2009  6  3  3  0 0.00000 0.00000
